lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            47                             ---                            ---                            factor                         No                             var                           
---                            47                             ---                            ---                            term                           No                             factor                        
---                            47                             ---                            ---                            arithmeticExpression           No                             term                          
---                            47                             TK_DIV                         ---                            highPrecdenceOperator          Yes                           ---                           
---                            47                             ---                            ---                            termPrime                      No                             highPrecdenceOperator         
---                            47                             ---                            ---                            term                           No                             termPrime                     
---                            47                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            47                             ---                            ---                            var                            No                             singleOrRecId                 
---                            47                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            47                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            47                             ---                            ---                            factor                         No                             var                           
---                            47                             ---                            ---                            termPrime                      No                             factor                        
---                            47                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            47                             ---                            ---                            termPrime                      No                             termPrime                     
---                            47                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            47                             ---                            ---                            expPrime                       Yes                           EPSILON                       
